"latitude","longitude","code","interview_year","interview_month"
31.23567,29.99372,"EG-4-2-412205",2003,5
30.00402,31.13792,"EG-4-2-3031308",2003,6
31.27957467,30.21794636,"EG-4-2-2600401",2003,6
31.23846,29.98694,"EG-4-2-511506",2003,5
30.88569,31.26535,"EG-4-2-1360102",2003,5
30.84958,32.30952,"EG-4-2-2780104",2003,6
30.8466,31.37433,"EG-4-2-1350205",2003,5
0,0,"EG-4-2-5410904",2003,6
31.05748,31.40849,"EG-4-2-1200306",2003,5
30.88039,30.96849,"EG-4-2-2280105",2003,5
24.06423,32.89537,"EG-4-2-4570207",2003,5
30.09972,31.31895,"EG-4-2-190111",2003,6
27.93336,30.79561,"EG-4-2-3640404",2003,5
27.80473,30.88226,"EG-4-2-3810204",2003,6
29.96756,31.39799,"EG-4-2-250504",2003,6
30.70712,31.27082,"EG-4-2-1210713",2003,5
29.97651,32.53177,"EG-4-2-970506",2003,6
31.15226,29.89459,"EG-4-2-660809",2003,5
30.53852,31.01492,"EG-4-2-2340108",2003,6
31.10689,31.13032,"EG-4-2-2190101",2003,5
31.44406,31.81079,"EG-4-2-1050303",2003,5
31.11183472,29.77673583,"EG-4-2-640804",2003,5
30.1064339283,31.2870429524,"EG-4-2-152502",2003,6
31.05248,31.3754,"EG-4-2-1180702",2003,5
30.00548,32.51318,"EG-4-2-850310",2003,6
29.9761,32.52071,"EG-4-2-881615",2003,6
30.35866,30.50971,"EG-4-2-2350426",2003,6
0,0,"EG-4-2-5540103",2003,5
31.1036,30.92407,"EG-4-2-1930405",2003,6
0,0,"EG-4-2-5410302",2003,5
29.97256,32.53424,"EG-4-2-970208",2003,6
0,0,"EG-4-2-5500103",2003,6
30.91078,30.28851,"EG-4-2-2580402",2003,6
30.12391,31.29779,"EG-4-2-92002",2003,6
30.60519,32.25542,"EG-4-2-2790110",2003,6
0,0,"EG-4-2-5450710",2003,5
29.99636,31.41847,"EG-4-2-250201",2003,6
29.97892,32.53867,"EG-4-2-920401",2003,6
30.36347,30.50654,"EG-4-2-2350412",2003,6
30.1212719807,31.2663266928,"EG-4-2-1766104",2003,5
31.03357,31.36228,"EG-4-2-1181413",2003,5
30.03775,31.18752,"EG-4-2-3002305",2003,6
31.23891,32.31289,"EG-4-2-810717",2003,6
28.09083,30.75776,"EG-4-2-3631106",2003,5
29.94245,32.56728,"EG-4-2-910504",2003,6
29.30581,30.83193,"EG-4-2-3450810",2003,6
31.26287,30.00457,"EG-4-2-444207",2003,5
31.16067,29.87097,"EG-4-2-651402",2003,5
29.97631,32.54889,"EG-4-2-981204",2003,6
31.40177,31.79535,"EG-4-2-1070406",2003,6
31.11183472,29.77673583,"EG-4-2-640804",2003,6
28.31405,30.7057,"EG-4-2-3621402",2003,5
30.77883,30.99725,"EG-4-2-2140105",2003,5
31.24633,32.31707,"EG-4-2-800102",2003,6
28.08207,30.73526,"EG-4-2-3760209",2003,5
30.17812,31.11842,"EG-4-2-3100106",2003,5
30.02054,31.14958,"EG-4-2-3030601",2003,6
29.96964,32.53251,"EG-4-2-910209",2003,6
30.08411,31.25885,"EG-4-2-141704",2003,6
31.23707,29.99389,"EG-4-2-550233",2003,6
31.47344,31.84198,"EG-4-2-1060204",2003,6
27.73737,30.77115,"EG-4-2-3830107",2003,6
30.30177,31.72288,"EG-4-2-1460203",2003,5
30.18942,31.20359,"EG-4-2-1701901",2003,5
31.18132,29.91354,"EG-4-2-600705",2003,5
30.03992,31.11647,"EG-4-2-2970901",2003,6
31.46452,31.77183,"EG-4-2-1060703",2003,6
30.53468,31.27012,"EG-4-2-1670403",2003,5
24.48625,32.88813,"EG-4-2-4640201",2003,6
31.25926,30.00305,"EG-4-2-443206",2003,5
30.1472,31.05141,"EG-4-2-3120203",2003,5
0,0,"EG-4-2-5560101",2003,6
30.11464,31.28664,"EG-4-2-182606",2003,6
30.56883,32.30432,"EG-4-2-2890602",2003,6
30.03737,31.21401,"EG-4-2-3020217",2003,5
31.3599,31.6099,"EG-4-2-1100303",2003,5
26.56142,31.6815,"EG-4-2-4090103",2003,6
29.9878,32.5296,"EG-4-2-930612",2003,6
31.18627,30.8983,"EG-4-2-2050201",2003,6
31.20841,29.98129,"EG-4-2-500209",2003,5
30.59764,32.28811,"EG-4-2-2841107",2003,5
31.26969,30.00746,"EG-4-2-432109",2003,5
29.97898,31.25149,"EG-4-2-361902",2003,6
30.00608,31.19712,"EG-4-2-3072204",2003,6
31.11347,30.94051,"EG-4-2-1930207",2003,6
30.05409,31.33158,"EG-4-2-240301",2003,6
31.2764,32.27697,"EG-4-2-711013",2003,6
31.25813,30.00613,"EG-4-2-461308",2003,5
28.49798,30.79873,"EG-4-2-3610802",2003,6
31.22267,32.32756,"EG-4-2-811014",2003,6
30.84089,32.28426,"EG-4-2-2860102",2003,6
31.15419,31.4228,"EG-4-2-1310202",2003,5
27.18961,31.17411,"EG-4-2-3870201",2003,5
30.30442,30.96009,"EG-4-2-2360804",2003,6
27.9235,30.8541,"EG-4-2-3800205",2003,5
29.10771,30.66595,"EG-4-2-3570201",2003,6
31.28068,30.92667,"EG-4-2-1920101",2003,5
30.03732,31.23821,"EG-4-2-290102",2003,6
30.08789,31.26035,"EG-4-2-131404",2003,6
31.26920002,32.28835609,"EG-4-2-710703",2003,6
30.60068,31.51726,"EG-4-2-1440103",2003,5
30.46852,32.32535,"EG-4-2-2920303",2003,6
31.17904,29.8936,"EG-4-2-610303",2003,5
30.13653,31.37082,"EG-4-2-20303",2003,5
31.2242,29.93579,"EG-4-2-540104",2003,5
27.98056,30.80581,"EG-4-2-3790204",2003,6
31.27331,30.02319,"EG-4-2-420513",2003,5
30.84586,31.53513,"EG-4-2-1340107",2003,5
31.12572,30.64322,"EG-4-2-1940612",2003,6
31.25923,30.0113,"EG-4-2-473302",2003,5
25.74142458,32.64967846,"EG-4-2-4340109",2003,6
30.10221,31.25368,"EG-4-2-130601",2003,6
30.0689138053,31.2241570119,"EG-4-2-260204",2003,6
30.58729,32.1387,"EG-4-2-2880203",2003,6
31.27311,32.30249,"EG-4-2-770110",2003,6
31.23707,29.99389,"EG-4-2-550233",2003,5
26.84849,31.45942,"EG-4-2-4120105",2003,6
31.23328141,29.96219156,"EG-4-2-490302",2003,5
30.02346,31.22724,"EG-4-2-320301",2003,6
30.10196,31.29539,"EG-4-2-181002",2003,6
30.04387,31.18755,"EG-4-2-3010108",2003,6
29.10596,31.02651,"EG-4-2-3340204",2003,6
31.27199,32.27717,"EG-4-2-721612",2003,6
31.22182,31.53013,"EG-4-2-1240301",2003,5
28.32018,30.72284,"EG-4-2-3620707",2003,5
31.10057,30.3203,"EG-4-2-2560204",2003,6
27.97154,30.85451,"EG-4-2-3780103",2003,5
31.27618,32.27206,"EG-4-2-732204",2003,6
30.71311,31.79158,"EG-4-2-1420401",2003,5
0,0,"EG-4-2-5460102",2003,5
31.25109,32.27336,"EG-4-2-740303",2003,6
30.75882,31.1938,"EG-4-2-2320101",2003,6
30.713,31.57777,"EG-4-2-1410302",2003,5
31.16044,29.89201,"EG-4-2-660401",2003,5
29.99671,31.15616,"EG-4-2-3080301",2003,6
31.15226,29.89459,"EG-4-2-660809",2003,6
31.26923,32.28857,"EG-4-2-760706",2003,6
30.15244,31.33601,"EG-4-2-11701",2003,5
30.87406,32.31222,"EG-4-2-2780102",2003,6
27.20633,31.17816,"EG-4-2-3890103",2003,5
30.12199,31.33017,"EG-4-2-100502",2003,5
31.44406,31.81079,"EG-4-2-1050303",2003,6
30.54157,31.66302,"EG-4-2-1450502",2003,5
31.24467276,32.2728525,"EG-4-2-731902",2003,6
31.04806,30.47282,"EG-4-2-2570502",2003,6
31.23706,31.65739,"EG-4-2-1140207",2003,6
30.0059,31.21048,"EG-4-2-3081104",2003,6
30.04273,31.19743,"EG-4-2-3111402",2003,6
31.26415367,32.27740519,"EG-4-2-760309",2003,6
28.61419,30.80013,"EG-4-2-3670102",2003,6
30.0389,31.33205,"EG-4-2-240306",2003,6
31.03357,31.36228,"EG-4-2-1181413",2003,6
30.1256062889,31.3172551024,"EG-4-2-40414",2003,6
31.12732898,29.81961724,"EG-4-2-631309",2003,5
30.12093,31.3481,"EG-4-2-50109",2003,6
29.97233,31.27566,"EG-4-2-342902",2003,6
30.51124,32.33846,"EG-4-2-2920104",2003,6
31.26027,30.02684,"EG-4-2-460208",2003,5
31.12663,29.82354,"EG-4-2-630410",2003,5
31.26287,30.00457,"EG-4-2-444207",2003,6
29.96599,32.51856,"EG-4-2-871403",2003,6
30.8674765203,30.7816366276,"EG-4-2-2720304",2003,6
30.12827,31.35167,"EG-4-2-60107",2003,6
31.20926,31.86592,"EG-4-2-1260201",2003,5
30.30473,31.7242,"EG-4-2-1460710",2003,5
30.94992,31.38327,"EG-4-2-1370110",2003,6
31.50288151,31.84478313,"EG-4-2-1000207",2003,6
30.13755,31.33368,"EG-4-2-80405",2003,6
30.0431974662,31.1842006063,"EG-4-2-3110406",2003,6
0,0,"EG-4-2-5450307",2003,6
30.1441746562,31.3398975919,"EG-4-2-74202",2003,6
30.83959,30.68136,"EG-4-2-2730204",2003,6
31.23063,29.95985,"EG-4-2-480802",2003,5
31.02529,31.38845,"EG-4-2-1190602",2003,5
29.06607,31.13278,"EG-4-2-3360201",2003,6
30.82938,31.54922,"EG-4-2-1340103",2003,5
30.00418,31.2001,"EG-4-2-3061308",2003,6
30.07918,31.24163,"EG-4-2-120401",2003,6
30.55955,31.97678,"EG-4-2-2910201",2003,5
27.19403,31.1934,"EG-4-2-3890115",2003,5
30.5378015385,30.7916081779,"EG-4-2-2770101",2003,6
31.2324,29.96781,"EG-4-2-530704",2003,5
30.70612,31.26433,"EG-4-2-1400103",2003,5
0,0,"EG-4-2-5640802",2003,5
30.03496,31.26019,"EG-4-2-301007",2003,6
31.19221,29.93103,"EG-4-2-560203",2003,5
31.40317,31.73511,"EG-4-2-1020305",2003,5
30.78707,30.99655,"EG-4-2-2130509",2003,5
30.82019,30.90618,"EG-4-2-2260108",2003,5
30.92329,31.74368,"EG-4-2-1490101",2003,5
