PR,Type
hc1,integer
hc10,integer
hc11,integer
hc12,integer
hc15,integer
hc2,integer
hc27,character
hc3,integer
hc4,integer
hc5,integer
hc56,integer
hc57,integer
hc6,integer
hc61,character
hc64,integer
hc7,integer
hc70,integer
hc71,integer
hc72,integer
hc73,integer
hc8,integer
hc9,integer
hhid,character
hv000,character
hv001,character
hv002,character
hv003,integer
hv006,integer
hv007,integer
hv009,integer
hv014,integer
hv025,character
hv035,integer
hv101,character
hv104,character
hv105,integer
hv201,character
hv270,integer
hv271,integer
hv219,character
hv220,integer
hv008,integer
m4,integer
hc62,integer
m19,integer
hv204,integer
b0,integer
h22,integer
h43,integer
h11,integer
hc15,integer
