drinking_water,inadequate_water_urban,inadequate_water_rural
NA,NA,NA
11,FALSE,FALSE
12,FALSE,FALSE
....piped into dwelling,FALSE,FALSE
....piped into yard/plot,FALSE,FALSE
..piped into residence,FALSE,FALSE
..piped into yard/plot,FALSE,FALSE
bottled water,FALSE,FALSE
Bottled water,FALSE,FALSE
bottled water/refilling station,FALSE,FALSE
bottler water,FALSE,FALSE
faucet in residence,FALSE,FALSE
in building,FALSE,FALSE
in own land,FALSE,FALSE
inside the house,FALSE,FALSE
piped - into dwelling,FALSE,FALSE
piped - into yard/plot,FALSE,FALSE
piped in dwelling/yard/plot,FALSE,FALSE
piped inside dwel.,FALSE,FALSE
piped inside dwelling,FALSE,FALSE
piped inside dwelln',FALSE,FALSE
piped into compound,FALSE,FALSE
piped into courtyard,FALSE,FALSE
piped into dwelling,FALSE,FALSE
Piped into dwelling,FALSE,FALSE
piped into house/yard/plot,FALSE,FALSE
"piped into res, yard",FALSE,FALSE
piped into residence,FALSE,FALSE
piped into residence/yard/plot,FALSE,FALSE
piped into tap in yard/plot,FALSE,FALSE
piped into yard,FALSE,FALSE
piped into yard/lot,FALSE,FALSE
piped into yard/plot,FALSE,FALSE
piped into yard/plot/building,FALSE,FALSE
piped into yard/spot,FALSE,FALSE
piped onto property,FALSE,FALSE
piped outside residence,FALSE,FALSE
piped water from rural system,FALSE,FALSE
piped water from utility company,FALSE,FALSE
piped water within structure,FALSE,FALSE
"piped, inside house",FALSE,FALSE
purchased water,FALSE,FALSE
purified water,FALSE,FALSE
sachet water,FALSE,FALSE
tanker truck,FALSE,FALSE
Tanker truck,FALSE,FALSE
tanker truck/bowser,FALSE,FALSE
tanker truck/peddler,FALSE,FALSE
tanker truck/water vendor,FALSE,FALSE
tanker truck_(51),FALSE,FALSE
tap in compound,FALSE,FALSE
tap in courtyard,FALSE,FALSE
tap in dwelling,FALSE,FALSE
vendor,FALSE,FALSE
vendor = cart with small tank,FALSE,FALSE
vendor: cart with small tank,FALSE,FALSE
water from vendor,FALSE,FALSE
water in house,FALSE,FALSE
water sachets,FALSE,FALSE
water sale by company,FALSE,FALSE
water seller,FALSE,FALSE
water vender,FALSE,FALSE
water vendor,FALSE,FALSE
Water vendor,FALSE,FALSE
ÿpiped into residence,FALSE,FALSE
ÿû well in residence,FALSE,FALSE
ÿwell in residence/yard/plot,FALSE,FALSE
13,TRUE,FALSE
14,TRUE,FALSE
21,TRUE,FALSE
22,TRUE,FALSE
23,TRUE,FALSE
24,TRUE,FALSE
25,TRUE,FALSE
31,TRUE,FALSE
61,FALSE,FALSE
62,FALSE,FALSE
63,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
73,FALSE,FALSE
81,TRUE,FALSE
82,TRUE,FALSE
96,TRUE,FALSE
99,TRUE,FALSE
....dug well - protected,TRUE,FALSE
....piped - public,TRUE,FALSE
....spring water protected,TRUE,FALSE
....tube well or borehole,TRUE,FALSE
..public tap,TRUE,FALSE
..public well_(23),TRUE,FALSE
..public well_(33),TRUE,FALSE
..well in residence_(21),TRUE,FALSE
..well in residence_(31),TRUE,FALSE
..well in yard/plot_(22),TRUE,FALSE
aqueduct. public net,TRUE,FALSE
arranged source,TRUE,FALSE
barehole,TRUE,FALSE
borehole,TRUE,FALSE
borehole ?,TRUE,FALSE
borehole in yard/plot,TRUE,FALSE
borehole or tubewell,TRUE,FALSE
borehole public,TRUE,FALSE
borehole with pump,TRUE,FALSE
Borehole with pump,TRUE,FALSE
borehole with pump in residence,TRUE,FALSE
borehole with pump outside residence,TRUE,FALSE
borehole/ tubewell,TRUE,FALSE
borehole/pump,TRUE,FALSE
cart with small tank,FALSE,FALSE
Cart with small tank,FALSE,FALSE
covered spring,TRUE,FALSE
covered well,TRUE,FALSE
deet tubewell,TRUE,FALSE
developed spring,TRUE,FALSE
drilling equipped with pump,TRUE,FALSE
"duct, protected well",TRUE,FALSE
faucet not in reside,TRUE,FALSE
improved spring,TRUE,FALSE
improved stream,TRUE,FALSE
inside neighbor's house,TRUE,FALSE
manual pumped water,TRUE,FALSE
manual/mechanical well,TRUE,FALSE
mechanical or manual well,TRUE,FALSE
mechanical pump well,TRUE,FALSE
mod. public well,TRUE,FALSE
mod. well in resid.,TRUE,FALSE
neighbor - piped,TRUE,FALSE
neighbor - unspecifi,TRUE,FALSE
neighbor's faucet,TRUE,FALSE
Neighbor's house,TRUE,FALSE
neighbor's tap,TRUE,FALSE
Neighbor's tap,TRUE,FALSE
neighbor's tap/standpipe,TRUE,FALSE
neighbour's tap,TRUE,FALSE
other,TRUE,FALSE
Other,TRUE,FALSE
other piped,TRUE,FALSE
other piped source,TRUE,FALSE
"other source, by tub",TRUE,FALSE
"other source, piped",TRUE,FALSE
other spring,TRUE,FALSE
outside house,TRUE,FALSE
piped  outside dwelling,TRUE,FALSE
piped - public tap / standpipe,TRUE,FALSE
piped elsewhere,TRUE,FALSE
piped from the neighbor,TRUE,FALSE
