toilet_type,inadequate_toilet
NA,NA
11,FALSE
12,FALSE
13,FALSE
14,FALSE
15,FALSE
21,FALSE
22,FALSE
23,FALSE
24,FALSE
25,FALSE
26,FALSE
30,FALSE
31,FALSE
32,FALSE
33,FALSE
34,FALSE
35,FALSE
36,FALSE
51,FALSE
61,FALSE
71,FALSE
96,FALSE
99,FALSE
..modern flush toilet,FALSE
..pit toilet\latrine,FALSE
..traditional with bucket flush,FALSE
..traditional with tank flush,FALSE
blair toilet,FALSE
cemented with sink,FALSE
close pit,FALSE
collec. flush toilet,FALSE
covered latrine,FALSE
covered pit latrine - with slab,FALSE
covered pit latrine - without slab / open pit,FALSE
flush,FALSE
flush - don't know where,FALSE
flush - to piped sewer system,FALSE
flush - to pit latrine,FALSE
flush - to septic tank,FALSE
flush - to somewhere else,FALSE
flush connected to sewer/with septic tank,FALSE
flush other,FALSE
flush to latrine,FALSE
flush to pipe connected to ground water,FALSE
flush to piped sewer system,FALSE
Flush to piped sewer system,FALSE
flush to pit latrine,FALSE
Flush to pit latrine,FALSE
flush to septic tank,FALSE
Flush to septic tank,FALSE
flush to somewhere else,FALSE
Flush to somewhere else,FALSE
flush to vault (bayara),FALSE
flush toilet,FALSE
flush toilet (private or shared unknown),FALSE
flush toilet private,FALSE
flush toilet shared,FALSE
"flush toilet,private",FALSE
"flush toilet,shared",FALSE
flush toilet: own,FALSE
flush toilet: shared,FALSE
flush toilet_(11),FALSE
flush toilet_(13),FALSE
flush unconnected to sewer/without septic tank,FALSE
flush with septic ta,FALSE
"flush, don't know where",FALSE
"Flush, don't know where",FALSE
flushed to piped sewer system,FALSE
flust to pipe connected to canal,FALSE
improved (ventilated) pit latrine,FALSE
improved latrines,FALSE
improved pit latrine,FALSE
in residence public,FALSE
in residence/private,FALSE
indoors: flush to open pit (ditch or river),FALSE
indoors: flush to piped public system,FALSE
indoors: flush to septic tank,FALSE
indoors: latrine to piped public system,FALSE
indoors: latrine to septic tank,FALSE
Inside dwelling,FALSE
inside yard: flush to open pit (ditch or river),FALSE
inside yard: flush to piped public system,FALSE
inside yard: flush to septic tank,FALSE
inside yard: latrine to open pit (ditch or river),FALSE
inside yard: latrine to piped public system,FALSE
inside yard: latrine to septic tank,FALSE
latrine,FALSE
Latrine (ciego o negro),FALSE
latrine connected to sewer/with septic tank,FALSE
Latrine over river/lake,FALSE
Latrine with manual flush,FALSE
latrine with manual flush,FALSE
"latrine, community",FALSE
"latrine, private",FALSE
latrine/sewer commun,FALSE
latrine/sewer privat,FALSE
latrines,FALSE
modern flush toilet,FALSE
modern flush toilets,FALSE
non-vip pit latrine with slab,FALSE
OTHER,FALSE
Other,FALSE
other place,FALSE
other_(41),FALSE
other_(96),FALSE
out of yard: flush to open pit (ditch or river),FALSE
out of yard: flush to piped public system,FALSE
out of yard: flush to septic tank,FALSE
out of yard: latrine to open pit (ditch or river),FALSE
out of yard: latrine to piped public system,FALSE
out of yard: latrine to septic tank,FALSE
Outside dwelling,FALSE
outside private,FALSE
outside public,FALSE
own flush toilet,FALSE
own flush toilet outsite/yard,FALSE
own flust toilet into residence,FALSE
own pit toilet/latrine,FALSE
own trad. pit toilet,FALSE
own traditional pit toilet,FALSE
own vent. imp. lat.,FALSE
personal toilet,FALSE
piped sewage system,FALSE
pit,FALSE
pit latrine,FALSE
pit latrine - ventilated improved pit (vip),FALSE
pit latrine - with slab,FALSE
pit latrine ventilated improved pit latrine,FALSE
pit latrine with drainage,FALSE
pit latrine with non-washable slab*,FALSE
Pit latrine with non-washable slab*,FALSE
pit latrine with slab,FALSE
Pit latrine with slab,FALSE
pit latrine with washable slab*,FALSE
Pit latrine with washable slab*,FALSE
pit toilet,FALSE
pit toilet latrine,FALSE
pit toilet latrine (private or shared unknown),FALSE
pit toilet with basinet (private),FALSE
pit toilet with bassinet (shared),FALSE
pit toilet without bassinet (private),FALSE
pit toilet without bassinet (shared),FALSE
pit toilet/latrine,FALSE
pit/latrine,FALSE
pour flush latrine,FALSE
"priv latrine, box",FALSE
"priv latrine, wo/box",FALSE
private - with septic tank,FALSE
private - without septic tank,FALSE
private connected to sewer,FALSE
private flush toilet,FALSE
private latrine,FALSE
private latrine with slab,FALSE
private pit toilet latrine,FALSE
private toilet,FALSE
sealed pit,FALSE
septic pit,FALSE
septic tank,FALSE
septic tank/modern,FALSE
septic tank/modern toilet,FALSE
septic tank/toilet,FALSE
Septic well,FALSE
share flush toilet into residence,FALSE
share flush toilet outside/yard,FALSE
share latrine with slab,FALSE
"share latrine, box",FALSE
share pit toilet/letrine,FALSE
share toilet,FALSE
shared flush toilet,FALSE
shared pit toilet latrine,FALSE
shared trad. pit,FALSE
shared traditional pit toilet,FALSE
shared vent. imp lat,FALSE
shared/public,FALSE
simple latrine,FALSE
slit latrine,FALSE
toilet connected to plot/yard,FALSE
toilet connected to septic well,FALSE
toilet connected to sewer,FALSE
toilet in common,FALSE
toilet inside,FALSE
toilet outside,FALSE
"toilet to creek, open space",FALSE
toilet to others,FALSE
toilet to pit,FALSE
toilet to sewer,FALSE
toilet-septic tank,FALSE
trad. own pit toilet,FALSE
trad. pit latrine,FALSE
trad. pit toilet,FALSE
trad. shared pit toi,FALSE
trad. w bucket flush,FALSE
trad. w tank flush,FALSE
trad.pit toilet,FALSE
tradicional pit toilet/latrine,FALSE
tradit. pit toilet,FALSE
traditional bucket flush,FALSE
Traditional latrine,FALSE
traditional latrine,FALSE
traditional pit latrine,FALSE
traditional pit toil,FALSE
traditional pit toilet,FALSE
traditional pit/latrine unconnected to sewer/without septic,FALSE
traditional tank flush,FALSE
traditional toilet to sea/river (low tide),FALSE
vent. imp. pit latr.,FALSE
vent. imp. pit latrine,FALSE
vent.imp.pit latrine,FALSE
ventil. improv. pit,FALSE
ventilated improv pt,FALSE
ventilated improved (vip),FALSE
ventilated improved pit (vip) latrine,FALSE
ventilated improved pit (vip) latrines,FALSE
ventilated improved pit latrine,FALSE
ventilated improved pit latrine (vip),FALSE
Ventilated Improved Pit latrine (VIP),FALSE
ventilated improved pit toilet,FALSE
ventilated improved pit/latrine (vip blair toilet),FALSE
ventilated latrine,FALSE
Ventilated latrine,FALSE
ventilated/improved pit latrine,FALSE
vip latrine,FALSE
w.c,FALSE
water sealed/slab,FALSE
water sealed/slab la,FALSE
water sealed/slab latrine,FALSE
ÿown flush toilet,FALSE
ÿtraditional pit toilet,FALSE
ÿventilated improved pit latrine,FALSE
41,TRUE
42,TRUE
43,TRUE
44,TRUE
45,TRUE
..no facility,TRUE
basic pit,TRUE
borehole,TRUE
bucket,TRUE
bucket latrine,TRUE
bucket toilet,TRUE
Bucket toilet,TRUE
"bucket, pan",TRUE
bucket/pan,TRUE
bucket/potty/other container,TRUE
bush/field,TRUE
camara s‚ptica,TRUE
composting toilet,TRUE
Composting toilet,TRUE
composting toilet/arbo loo,TRUE
connected to septic well,TRUE
drop/overhang,TRUE
drop/overhang type,TRUE
field,TRUE
hanging latrine,TRUE
hanging toilet/latrine,TRUE
Hanging toilet/latrine,TRUE
no fac./bush/field,TRUE
"no facilities, bush",TRUE
no facilities_(31),TRUE
no facility,TRUE
"no facility, bush",TRUE
"no facility, bush, field",TRUE
"no facility, nature",TRUE
"no facility,bush",TRUE
no facility/ bush/ field,TRUE
no facility/bush,TRUE
"no facility/bush, field",TRUE
no facility/bush/field,TRUE
No facility/bush/field,TRUE
no facility/bush/fld,TRUE
no facility/field,TRUE
no facility/outdoors/bush,TRUE
no facility_(31),TRUE
no facility_(33),TRUE
no flush toilet,TRUE
No service,TRUE
no toilet facility,TRUE
no toilet/bush,TRUE
no toilet/field/bush,TRUE
non-vip pit latrine without slab,TRUE
open air,TRUE
open latrine,TRUE
open pit,TRUE
open privy,TRUE
"open, rudimentary",TRUE
other,TRUE
pan,TRUE
pit latrine - without slab / open pit,TRUE
pit latrine (traditional),TRUE
pit latrine without slab non-wahable,TRUE
pit latrine without slab/ open pit,TRUE
pit latrine without slab/open pit,TRUE
Pit latrine without slab/open pit,TRUE
pit latrine without slab/open pit*,TRUE
Pit latrine without slab/open pit*,TRUE
private latrine without slab,TRUE
public connected to sewer,TRUE
public latrine,TRUE
public toilet,TRUE
river,TRUE
"River, canal",TRUE
river/canal,TRUE
river/stream/creek,TRUE
"share latrin, wo/box",TRUE
share latrine without slab,TRUE
"Toilet without flush, don't know where",TRUE
uncovered latrine,TRUE
uncovered pit latrine - with slab,TRUE
uncovered pit latrine - without slab,TRUE
unventilated latrine,TRUE
water flow do not know where,TRUE
without cement sink,TRUE
yard/bush/forest,TRUE
ÿno facility/bush/field,TRUE
