wall_materials,inadequate_walls
NA,NA
31,FALSE
32,FALSE
33,FALSE
34,FALSE
35,FALSE
36,FALSE
37,FALSE
38,FALSE
41,FALSE
42,FALSE
43,FALSE
44,FALSE
96,FALSE
99,FALSE
"""pau-a-pique""",FALSE
"asbestos, wood, zinc",FALSE
"asbestos/wood,zinc",FALSE
baked bricks,FALSE
"baked bricks, cement",FALSE
"bare brick, cement blocks",FALSE
block of cement,FALSE
block/cements/bricks,FALSE
blocks / bricks,FALSE
blocks of clay,FALSE
"blocks,cement",FALSE
breeze blocks/parpens/stones/cement,FALSE
brick,FALSE
brick or stone,FALSE
brick/cement,FALSE
Brick/cement blocks,FALSE
bricks,FALSE
Bricks,FALSE
"bricks (""tijolos"")",FALSE
"bricks, cement blocks, concrete etc.",FALSE
bricks/polished wood/premanufactured material,FALSE
bricks/polished wood/pre-manufactured material,FALSE
burnt bricks,FALSE
burnt bricks with cement,FALSE
burnt bricks with mud,FALSE
cement,FALSE
Cement,FALSE
cement block,FALSE
cement blocks,FALSE
Cement blocks,FALSE
cement blocks or panels,FALSE
cement blocks/cement stones,FALSE
cement bricks,FALSE
cement or stone blocks,FALSE
"cement, stone blocks",FALSE
cement/concrete,FALSE
cement/monolit,FALSE
cinder blocks,FALSE
concrete,FALSE
concrete or stone blocks,FALSE
corrugated iron,FALSE
corrugated iron sheet,FALSE
corrugated iron/zinc,FALSE
covered adobe,FALSE
Covered adobe,FALSE
cut stone,FALSE
cut stone and concrete,FALSE
finished - bricks,FALSE
finished - cement,FALSE
finished - cement blocks,FALSE
finished - stone with lime / cement,FALSE
finished - wood planks / shingles,FALSE
finished bricks,FALSE
finished walls cement,FALSE
galvanized iron/ aluminium,FALSE
iron sheets,FALSE
iron/metal sheeting,FALSE
metal,FALSE
metalic sheet,FALSE
mixed brick,FALSE
other,FALSE
OTHER,FALSE
Other,FALSE
other_(41),FALSE
plywood,FALSE
Plywood,FALSE
"plywood, reused wood",FALSE
polymer cover,FALSE
prefabricated material,FALSE
reinf basic material,FALSE
semi-dur,FALSE
semihard/semifinished/other,FALSE
sheet metal,FALSE
"shingle ""tejamanil""",FALSE
shingle (tejamanil),FALSE
stone,FALSE
Stone with cal or cement,FALSE
stone with clay,FALSE
stone with lime / cement,FALSE
Stone with lime / cement,FALSE
stone with lime or cement,FALSE
stone with lime/cement,FALSE
Stone with lime/cement,FALSE
stone with mud,FALSE
Stone with mud,FALSE
stones,FALSE
sundried bricks,FALSE
sun-dried bricks,FALSE
tejamanil,FALSE
tiles/ceramic,FALSE
timber,FALSE
"timber, wood",FALSE
wood_(35),FALSE
zinc,FALSE
"zinc, canvas, plastics",FALSE
"zinc, metal [new code]",FALSE
1,TRUE
2,TRUE
3,TRUE
4,TRUE
5,TRUE
6,TRUE
7,TRUE
11,TRUE
12,TRUE
13,TRUE
14,TRUE
15,TRUE
21,TRUE
22,TRUE
23,TRUE
24,TRUE
25,TRUE
26,TRUE
27,TRUE
28,TRUE
29,TRUE
adobe,TRUE
Adobe,TRUE
adobe (mud bricks),TRUE
adobe (sun-dried brick),TRUE
adobe covered,TRUE
adobe not covered/bamboo/wood with mud,TRUE
bamboo,TRUE
bamboo / palm / trunks,TRUE
bamboo / pole with mud,TRUE
bamboo / tree trunk with mud,TRUE
bamboo with mud,TRUE
Bamboo with mud,TRUE
bamboo with mud plaster,TRUE
bamboo with mud/clay/dung,TRUE
bamboo without plaster,TRUE
"bamboo(guadua), straw, other plants",TRUE
"bamboo, planks",TRUE
"bamboo, straw, other plants",TRUE
bamboo/tree trunks with mud,TRUE
bamboo/wood with mud,TRUE
Bambu with mud,TRUE
bark/straw/branch/bamboo,TRUE
cane,TRUE
cane / palm / trunks,TRUE
Cane / palm / trunks,TRUE
"cane, palm tree, trunks",TRUE
"cane, palm, trunks",TRUE
cane/palm tree/sticks/bamboo,TRUE
cane/palm/trunks,TRUE
Cane/palm/trunks,TRUE
Cane/Palm/Trunks,TRUE
cane/palm/trunks/bamboo,TRUE
cane/palm/trunks/leaves,TRUE
cane/tree trunks,TRUE
cane/trunks,TRUE
canes/palms/trunks,TRUE
cardboard,TRUE
Cardboard,TRUE
"cardboard, plastic",TRUE
cardboard/plastic,TRUE
Carton,TRUE
carton,TRUE
clay,TRUE
cob/daub/mud/clay,TRUE
compact dirt/mud,TRUE
Compressed wood,TRUE
dirt,TRUE
Dirt,TRUE
discarded materials,TRUE
disposable material,TRUE
dung,TRUE
dung / mud / sod,TRUE
dung/mud/sod,TRUE
earth,TRUE
Estera,TRUE
grass,TRUE
grass/thatch/mud,TRUE
hair wool cloth,TRUE
hair/wool/cloth,TRUE
half solid,TRUE
interwoven sticks or reeds and mud ('bajareque'),TRUE
jute/bamboo/mud,TRUE
jute/bamboo/mud (katcha),TRUE
makeshift/ cardboard/ reused material,TRUE
meshed bamboo,TRUE
mud,TRUE
mud and pole,TRUE
mud and poles,TRUE
mud and sticks,TRUE
mud bricks,TRUE
mud bricks with stones,TRUE
Mud or mud bricks,TRUE
mud walls,TRUE
"mud, dung",TRUE
mud/landcrete,TRUE
mud/sand,TRUE
natural - cane / trunks,TRUE
natural - mud,TRUE
natural walls,TRUE
natural walls cane/tree trunks,TRUE
no walls,TRUE
No walls,TRUE
other dung materials,TRUE
palm,TRUE
palm branches,TRUE
palm leave (yagua),TRUE
palm leaves,TRUE
palm tree,TRUE
"palm tree ""yagua""",TRUE
"palm, bamboo",TRUE
palm/bamboo/thatch,TRUE
planks,TRUE
plastered brick,TRUE
plastic/carton/used metal sheet,TRUE
pole with mud,TRUE
poles and mud,TRUE
poles with mud,TRUE
reused wood,TRUE
Reused wood,TRUE
rocks,TRUE
rudimentary - carton,TRUE
rudimentary - plywood,TRUE
rudimentary - reused wood,TRUE
rudimentary - stone with mud,TRUE
rudimentary walls,TRUE
rudimentary walls stone with mud,TRUE
rustic mat,TRUE
Rustic mats,TRUE
sheet,TRUE
Shells (Casca),TRUE
slag,TRUE
sod,TRUE
Sticks (paus maticados),TRUE
sticks and mud,TRUE
sticks with mud/clay/dung,TRUE
straw,TRUE
straw /mats,TRUE
straw with mud,TRUE
"straw, thatch mats",TRUE
sun-dried bricks /mud bricks,TRUE
tabique / chinche,TRUE
thatched,TRUE
thatched/straw,TRUE
tin,TRUE
Tin/ cardborad/ paper/ bags,TRUE
tin/cardborad/paper/bags,TRUE
tree trunks,TRUE
unbaked bricks,TRUE
unburnt bricks,TRUE
un-burnt bricks,TRUE
unburnt bricks with mud,TRUE
unburnt bricks with plaster,TRUE
un-burnt bricks with plaster,TRUE
uncovered adobe,TRUE
Uncovered adobe,TRUE
unplastered brick or mud wall,TRUE
used wood,TRUE
waste material,TRUE
waste materials,TRUE
wattle,TRUE
without walls,TRUE
wood,TRUE
Wood,TRUE
wood planks,TRUE
wood planks / shingles,TRUE
Wood planks / shingles,TRUE
wood planks/shingles,TRUE
Wood planks/shingles,TRUE
wood planks/shingles/metal/corrugated,TRUE
wood stem,TRUE
"wood, timber",TRUE
Wood/ metal planks,TRUE
wood/bamboo,TRUE
wood/branches,TRUE
wood_(24),TRUE
wooden plank,TRUE
woods,TRUE
woven bamboo,TRUE
yagua,TRUE
