"dhscode","spiimpact","year","LATNUM","LONGNUM","country"
"AL-5-1-1",-0.000736856708041953,2008,40.822652,19.838321,"AL"
"AL-5-1-10",-0.000627133024022711,2008,40.698522,19.9503,"AL"
"AL-5-1-100",0.000132887743633351,2009,41.112827,20.113423,"AL"
"AL-5-1-101",0.000306220048682483,2009,41.124938,20.070425,"AL"
"AL-5-1-102",-0.000273606153926629,2009,41.107213,20.076463,"AL"
"AL-5-1-103",8.19846726772667e-05,2009,41.114331,20.06936,"AL"
"AL-5-1-104",-3.06048021270492e-05,2009,41.113391,20.080656,"AL"
"AL-5-1-105",0.000323051969358992,2008,40.567915,19.632669,"AL"
"AL-5-1-106",0.000189984059751722,2008,40.572031,19.657091,"AL"
"AL-5-1-107",-0.000306253708948878,2008,40.735403,19.483347,"AL"
"AL-5-1-108",-0.000356776514143734,2008,40.67899,19.49058,"AL"
"AL-5-1-109",-0.000127489188377809,2008,40.742882,19.671396,"AL"
"AL-5-1-11",-2.73457494027221e-05,2009,40.717969,19.935874,"AL"
"AL-5-1-11",-2.73457494027221e-05,2008,40.717969,19.935874,"AL"
"AL-5-1-110",8.93589025372959e-06,2008,40.6862149,19.79982432,"AL"
"AL-5-1-111",-0.000232815381031361,2008,40.729965,19.569688,"AL"
"AL-5-1-112",-0.000189658063852102,2008,40.807737,19.562051,"AL"
"AL-5-1-113",-0.000295587207014012,2009,40.78863,19.615584,"AL"
"AL-5-1-114",-3.87563401659522e-05,2009,40.670499,19.610017,"AL"
"AL-5-1-115",-0.000452035276981642,2009,40.635606,19.652838,"AL"
"AL-5-1-116",-0.000109694333532098,2009,40.752687,19.505801,"AL"
"AL-5-1-117",2.3962382867005e-05,2008,40.764994,19.747691,"AL"
"AL-5-1-118",-0.000232073449274481,2009,40.742302,19.4329,"AL"
"AL-5-1-119",0.000315714555663678,2009,40.715702,19.53449,"AL"
"AL-5-1-12",-1.975710152176e-05,2008,40.711304,19.937764,"AL"
"AL-5-1-120",0.000132263921323373,2009,40.730396,19.541627,"AL"
"AL-5-1-121",-0.000235036541357335,2009,40.720624,19.577957,"AL"
"AL-5-1-122",-0.000227664781259851,2009,40.744906,19.569765,"AL"
"AL-5-1-124",0.000499610947509242,2009,40.725969,19.572351,"AL"
"AL-5-1-126",0.000895296231480151,2009,40.724063,19.551914,"AL"
"AL-5-1-127",0.000991338637185724,2009,40.732527,19.545404,"AL"
"AL-5-1-128",0.000912773689639164,2009,40.728557,19.56754,"AL"
"AL-5-1-13",-0.000796478831552784,2009,40.723283,19.945518,"AL"
"AL-5-1-13",-0.000796478831552784,2008,40.723283,19.945518,"AL"
"AL-5-1-130",0.000968432574261726,2009,40.674696,19.616924,"AL"
"AL-5-1-131",0.00112380803231709,2009,40.738469,19.723369,"AL"
"AL-5-1-132",0.000270308470097957,2008,39.919217,20.316928,"AL"
"AL-5-1-133",6.7285974444886e-06,2008,40.13414,20.10725,"AL"
"AL-5-1-134",8.03838622896773e-05,2008,40.070536,20.127742,"AL"
"AL-5-1-135",-0.000728348866056035,2008,40.074667,20.156582,"AL"
"AL-5-1-136",-0.000877855064809934,2008,40.793203,20.327734,"AL"
"AL-5-1-137",0.000482648850588423,2008,40.769551,20.173315,"AL"
"AL-5-1-138",-0.000271983487123706,2008,40.950585,20.15515,"AL"
"AL-5-1-139",0.000500048222477247,2008,40.881853,20.259662,"AL"
"AL-5-1-14",0.000267806595847466,2009,40.707192,19.957393,"AL"
"AL-5-1-140",-0.000581780395027026,2008,40.753633,20.270504,"AL"
"AL-5-1-141",0.000163729167508406,2008,40.90218,20.355311,"AL"
"AL-5-1-142",-3.27563622276449e-05,2008,40.82762,20.084756,"AL"
"AL-5-1-143",0.0010861336569076,2008,40.87209,20.185926,"AL"
"AL-5-1-144",-6.6576362529385e-05,2008,40.857373,20.19022,"AL"
"AL-5-1-145",-0.000336105149509489,2008,40.852811,20.180499,"AL"
"AL-5-1-146",1.52228358551676e-05,2008,40.860529,20.19111,"AL"
"AL-5-1-147",-8.0269471491281e-05,2008,40.853582,20.18431,"AL"
"AL-5-1-148",-0.000788239507235718,2008,40.854437,20.199351,"AL"
"AL-5-1-149",-0.000343700142087681,2008,40.853199,20.185923,"AL"
"AL-5-1-15",-0.000156837807906876,2009,40.710037,19.974657,"AL"
"AL-5-1-150",-0.000254067630725252,2009,42.162683,20.383164,"AL"
"AL-5-1-151",0.00111957592576231,2009,42.184798,20.397091,"AL"
"AL-5-1-152",0.00213024454490586,2009,42.147363,20.394346,"AL"
"AL-5-1-153",0.0010627334051899,2009,42.201536,20.392315,"AL"
"AL-5-1-154",-0.000346223312894772,2009,42.197338,20.398472,"AL"
"AL-5-1-155",-1.65279271155775e-05,2009,42.192467,20.414906,"AL"
"AL-5-1-156",-0.000103745787257804,2009,41.248127,19.553466,"AL"
"AL-5-1-157",-0.000228548335399737,2009,41.084607,19.593856,"AL"
"AL-5-1-158",-0.000307289329913363,2009,41.103659,19.488327,"AL"
"AL-5-1-159",0.00024458848858915,2009,41.098733,19.569157,"AL"
"AL-5-1-16",-0.000650903774984332,2009,41.491808,20.192569,"AL"
"AL-5-1-161",-0.000535969778399124,2009,41.243755,19.523395,"AL"
"AL-5-1-162",0.00122957670399707,2009,41.201745,19.539072,"AL"
"AL-5-1-163",0.00133539930416874,2009,41.179262,19.566889,"AL"
