"num","cc","subversion","WI","KR","GE","PR","KRheight","KRweight","KRage","PRheight","PRweight","PRage","useable","PRgood","KRgood"
"5","AL",1,"","ALKR50FL.DTA","ALGE51FL.shp","ALPR50FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","AM",1,"","AMKR61FL.DTA","AMGE61FL.shp","AMPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","AM",1,"","AMKR71FL.DTA","AMGE71FL.shp","AMPR71FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","AM",1,"AMwi42fl.dta","AMKR42FL.DTA","","AMPR42FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"5","AM",1,"","AMKR54FL.dta","","AMPR54FL.dta",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"5","AO",1,"","AOKR51FL.DTA","AOGE52FL.shp","AOPR51FL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"6","AO",1,"","AOKR62FL.DTA","AOGE61FL.shp","AOPR62FL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"7","AO",1,"","AOKR71FL.DTA","AOGE71FL.shp","AOPR71FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","BD",1,"BDWI41FL.DTA","BDKR41FL.DTA","BDGE42FL.shp","BDPR41FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"4","BD",3,"","BDKR4JFL.DTA","BDGE4JFL.shp","BDPR4JFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","BD",1,"","BDKR51FL.DTA","BDGE52FL.shp","BDPR51FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","BD",1,"","BDKR61FL.DTA","BDGE61FL.shp","BDPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","BD",1,"","BDKR72FL.DTA","BDGE71FL.shp","BDPR72FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","BD",1,"BDWI31FL.DTA","BDKR31FL.DTA","","BDPR31FL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"3","BD",2,"BDWI3AFL.DTA","BDKR3AFL.DTA","","BDPR3AFL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"2","BF",1,"BFWI21FL.DTA","BFKR21FL.DTA","BFGE23FL.shp","BFPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","BF",1,"BFWI31FL.DTA","BFKR31FL.DTA","BFGE32FL.shp","BFPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"4","BF",1,"","BFKR43FL.dta","BFGE43FL.shp","BFPR44FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","BF",1,"","BFKR62FL.DTA","BFGE61FL.shp","BFPR62FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","BF",1,"","BFKR70FL.DTA","BFGE71FL.shp","BFPR70FL.DTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BJ",1,"BJWI31FL.DTA","BJKR31FL.DTA","BJGE33FL.shp","BJPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
