"surveycode","toilet","relationship_hhhead","otherwatersource","drinkwatersource","age","birth_order","father_alive","haz_dhs","head_age","head_sex","height","hhsize","mother_alive","sex","urban_rural","watersource_dist","waz_dhs","wealth_factor","wealth_index","weight","mother_age","mother_years_ed","mother_height","mother_haz","father_age","father_years_ed","father_height","father_haz","workers","dependents","birth_weight","breast_duration","diarrhea","fever","is_visitor","istwin","mother_smokes","parasite_drugs","parents_years_ed","years_in_location","ever_breastfed","breastfeeding","interview_year"
"AL-5-1",0,0,0,0,0,0.0407047387606318,0,0.185905224787363,0,0,0.0419198055893074,0,0,0,0,0.000607533414337789,0.185905224787363,0,0,0.0425273390036452,0.00972053462940462,0.00972053462940462,0.0291616038882139,0.0297691373025516,0.157958687727825,0.157958687727825,0.627582017010936,0.627582017010936,0,0,0.0656136087484812,0.0419198055893074,0.0443499392466586,0.0419198055893074,0.0413122721749696,0.0413122721749696,0.0413122721749696,0.0479951397326853,0.642162818955043,0.0413122721749696,0.0419198055893074,0.0419198055893074,2009
"AM-6-1",0,0.056271186440678,0.0264406779661017,0.000677966101694915,0,0.0176271186440678,0.000677966101694915,0.0989830508474576,0,0,0.0372881355932203,0,0,0,0,0.00271186440677966,0.0989830508474576,0,0,0.993898305084746,0.00406779661016949,0.00406779661016949,1,1,0.119322033898305,0.119322033898305,1,1,0,0,0.0325423728813559,0.739661016949153,0.0203389830508475,0.0196610169491525,0.0176271186440678,0.0176271186440678,0.0183050847457627,0.0257627118644068,0.0705084745762712,1,0.0210169491525424,0.0210169491525424,2010
"AM-7-1",0.00114220445459737,0,0.999428897772701,0,0,0.0245573957738435,0.00114220445459737,0.106225014277556,0,0,0.0788121073672187,0,0,0,0,0.00571102227298686,0.106225014277556,0,0,0.0708166761850371,0.00228440890919475,0.00228440890919475,0.0479725870930897,0.0479725870930897,0.0868075385494003,0.0868075385494003,1,1,0,0,0.029126213592233,0.738435179897202,0.0251284980011422,0.0251284980011422,0.0245573957738435,0.0245573957738435,0.0245573957738435,1,0.0719588806396345,0.0268418046830383,0.0245573957738435,0.0245573957738435,2016
"AO-7-1",0,0,0.9959716796875,0,0,0.1741943359375,0.0006103515625,0.0902099609375,0.0279541015625,0,0.038330078125,0,0,0,0,0.030029296875,0.0902099609375,0,0,0.040283203125,0.1048583984375,0.0887451171875,1,1,0.4071044921875,0.4056396484375,1,1,0,0,0.57763671875,0.6680908203125,0.1766357421875,0.175537109375,0.1741943359375,0.1741943359375,0.1741943359375,1,0.4898681640625,0.1741943359375,0.1741943359375,0.1741943359375,2016
"BD-4-1",0.00189693329117926,1,0.00110654441985457,1,0,0,1,0.156971229845084,0.000158077774264938,0,0.125039519443566,0,1,0,0,1,0.156971229845084,0,0,0.0619664875118558,1,0.341922225735062,1,1,1,1,1,1,1,1,1,0.00395194435662346,0.00569079987353778,0.00663926651912741,0,0,1,1,0.341922225735062,0.000790388871324692,0.00395194435662346,0.00395194435662346,2000
"BD-4-3",0.000142328494164532,0,0.0977796754910333,0.000142328494164532,0,0.0964987190435525,1,0.126957016794762,0,0,0.102761172786792,0,1,0,0,1,0.126957016794762,0,0,0.0848277825220609,0.0180757187588955,0.0186450327355537,0.0819812126387703,0.0832621690862511,1,1,1,1,0,0,1,0.0964987190435525,0.0976373469968688,0.0974950185027042,0.0964987190435525,0.0964987190435525,1,1,0.470964987190436,0.0967833760318816,0.0964987190435525,0.0964987190435525,2004
"BD-5-1",0,0.0564440263405456,0,0,0,0.099090624020069,1,0.134995296331138,0.000313577924114142,0,0.114926309187833,0,1,0,0,1,0.134995296331138,0,0,0.0979931012856695,1,0.502822201317027,1,1,1,1,1,1,0,0,1,0.101442458450925,0.100188146754468,0.100031357792411,0.0995609909062402,0.0995609909062402,1,1,0.502822201317027,0.0995609909062402,0.101442458450925,0.101442458450925,2007
"BD-6-1",0.000107805088400172,0,0.194695989650712,0,0,0.107266062958172,1,0.136912462268219,0,0,0.109961190168176,0,1,0,0,0.000970245795601552,0.136912462268219,0,0,0.0996119016817594,1,0.616106080206986,1,1,1,1,1,1,0,0,1,0.229085812850367,0.107481673134972,0.107589478223372,0.107266062958172,0.107266062958172,1,0.109853385079776,0.616106080206986,1,0.229085812850367,0.229085812850367,2011
"BD-7-1",0.000120235661897319,0,0.17578453769388,0,0,0.0982325357701094,1,0.129253336539618,0,0,0.106168089455332,0,1,0,0,0.00168329926656246,0.129253336539618,0,0,0.0842851989900204,1,0.625225441866057,1,1,1,1,1,1,0,0,1,0.47625345677528,0.099194421065288,0.0993146567271853,0.0983527714320067,0.0983527714320067,1,0.100156306360467,0.625225441866057,1,0.47625345677528,0.47625345677528,2014
"BF-2-1",0.0087890625,1,0.00703125,1,0,0,1,0.219140625,0.0013671875,0,0.10546875,0,1,0,0,0.2044921875,0.219140625,0,0,0.0775390625,1,0.1013671875,1,1,1,1,1,1,1,1,0.6638671875,0.00703125,0.0244140625,0.0263671875,0,0,1,1,0.1013671875,0.002734375,0.00703125,0.00703125,1993
